timestamp,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory,pstate,error
2026/08/25 00:34:21.132, 5, 12611, 16380, 50, 32.72, 2610, 8751, P2,
2026/08/25 00:34:22.223, 8, 12611, 16380, 49, 29.49, 2610, 8751, P2,
2026/08/25 00:34:23.347, 6, 12611, 16380, 49, 35.35, 2610, 8751, P2,
2026/08/25 00:34:24.468, 5, 12611, 16380, 48, 29.48, 2610, 8751, P2,
2026/08/25 00:34:25.578, 6, 12611, 16380, 48, 31.79, 2145, 8751, P2,
2026/08/25 00:34:26.672, 6, 12611, 16380, 48, 24.04, 2145, 8751, P2,
2026/08/25 00:34:27.781, 7, 12611, 16380, 49, 31.21, 2610, 8751, P2,
2026/08/25 00:34:28.890, 5, 12611, 16380, 49, 29.37, 2610, 8751, P2,
2026/08/25 00:34:29.982, 100, 12611, 16380, 50, 30.60, 885, 5001, P3,
2026/08/25 00:34:31.095, 5, 12611, 16380, 48, 29.66, 2610, 8751, P2,
2026/08/25 00:34:32.204, 7, 12611, 16380, 49, 35.38, 2610, 8751, P2,
2026/08/25 00:34:33.328, 5, 12611, 16380, 49, 29.68, 2610, 8751, P2,
2026/08/25 00:34:34.410, 100, 12611, 16380, 50, 30.22, 2325, 8751, P2,
2026/08/25 00:34:35.455, 7, 12611, 16380, 48, 37.22, 2610, 8751, P2,
2026/08/25 00:34:36.544, 7, 12611, 16380, 49, 32.50, 2310, 8751, P2,
2026/08/25 00:34:37.669, 10, 12611, 16380, 48, 25.69, 2310, 8751, P2,
2026/08/25 00:34:38.776, 100, 12611, 16380, 51, 29.02, 990, 5001, P3,
2026/08/25 00:34:39.884, 5, 12611, 16380, 48, 34.43, 2610, 8751, P2,
2026/08/25 00:34:40.995, 9, 12611, 16380, 48, 29.11, 900, 5001, P3,
2026/08/25 00:34:42.100, 5, 12611, 16380, 48, 29.83, 2610, 8751, P2,
2026/08/25 00:34:43.205, 100, 12611, 16380, 50, 30.40, 2325, 8751, P2,
2026/08/25 00:34:44.327, 7, 12611, 16380, 48, 37.51, 2610, 8751, P2,
